City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Delhi,2018-01-01,155.89,292.4,22.54,56.09,78.63,34.1,2.43,15.53,44.32,3.76,2.94,0.63,354,Very Poor
Delhi,2018-01-02,155.93,280.72,16.52,39.55,56.07,13.76,2.57,17.9,31.9,1.71,5.74,2.38,359,Very Poor
Delhi,2018-01-03,147.24,276.44,23.6,50.44,74.04,18.2,2.45,13.7,35.6,0.64,6.19,0.2,349,Very Poor
Delhi,2018-01-04,151.01,281.74,18.9,44.94,63.84,34.09,2.66,18.18,42.77,3.51,11.3,2.69,344,Very Poor
Delhi,2018-01-05,159.65,288.81,20.92,48.8,69.72,21.28,2.41,13.04,36.16,0.72,9.73,0.32,359,Very Poor
Delhi,2018-01-06,163.91,302.88,22.01,53.58,75.59,30.89,2.5,17.51,35.51,2.84,4.31,0.28,364,Very Poor
Delhi,2018-01-07,140.87,276.28,25.97,55.42,81.39,21.84,2.4,15.86,39.45,3.49,6.18,1.62,332,Very Poor
Delhi,2018-01-08,147.95,273.2,18.97,44.32,63.29,17.31,2.44,18.08,38.08,3.42,3.13,0.32,339,Very Poor
Delhi,2018-01-09,146.55,281.35,24.57,51.32,75.89,31.88,2.38,14.94,38.39,1.5,1.77,0.76,337,Very Poor
Delhi,2018-01-10,167.37,291.08,17.44,39.38,56.82,33.29,2.48,16.69,36.84,1.52,6.47,2.14,364,Very Poor
Delhi,2018-01-11,155.76,265.93,20.68,49.89,70.57,19.68,2.69,16.12,37.23,4.44,3.28,2.05,353,Very Poor
Delhi,2018-01-12,152.7,293.65,21.39,46.79,68.18,7.71,2.59,18.77,43.57,3.78,4.19,0.64,354,Very Poor
Delhi,2018-01-13,152.73,267.99,24.79,50.27,75.06,9.13,2.48,13.88,34.32,1.6,1.8,2.78,351,Very Poor
Delhi,2018-01-14,163.2,306.83,22.88,54.18,77.06,7.79,2.72,17.05,48.16,4.05,10.85,1.94,373,Very Poor
Delhi,2018-01-15,139.8,272.57,21.28,51.19,72.47,31.96,2.33,16.5,35.28,2.77,0.61,0.39,331,Very Poor
Delhi,2018-01-16,157.01,272.95,22.87,54.2,77.07,14.76,2.52,18.65,34.18,3.38,7.97,2.56,353,Very Poor
Delhi,2018-01-17,169.6,289.93,23.26,46.99,70.25,23.93,2.42,14.22,37.69,3.6,6.28,1.77,362,Very Poor
Delhi,2018-01-18,149.54,285.58,19.35,46.15,65.5,33.21,2.45,17.95,37.45,4.3,11.02,1.17,354,Very Poor
Delhi,2018-01-19,157.1,279.07,22.26,43.94,66.2,25.88,2.55,15.11,38.86,2.61,1.62,1.88,356,Very Poor
Delhi,2018-01-20,151.25,267.05,22.86,53.49,76.35,29.28,2.19,18.13,43.53,3.66,10.47,2.75,330,Very Poor
Delhi,2018-01-21,177.17,294.06,23.69,54.54,78.23,7.82,2.54,17.91,36.74,2.64,0.91,1.45,357,Very Poor
Delhi,2018-01-22,150.29,294.34,21.95,48.34,70.29,28.1,2.4,16.16,36.66,1.05,7.66,0.35,360,Very Poor
Delhi,2018-01-23,151.11,303.32,23.21,52.54,75.75,7.35,2.43,11.95,35.35,0.21,11.57,2.52,349,Very Poor
Delhi,2018-01-24,155.81,308.19,23.04,48.66,71.7,24.81,2.53,15.36,31.55,1.33,11.48,2.24,361,Very Poor
Delhi,2018-01-25,173.24,291.73,21.59,48.06,69.65,7.94,2.56,18.53,39.78,2.26,5.94,0.6,380,Very Poor
Delhi,2018-01-26,149.26,277.77,25.6,56.17,81.77,20.09,2.48,18.65,36.14,3.87,8.07,0.57,360,Very Poor
Delhi,2018-01-27,152.25,284.2,21.68,48.46,70.14,21.37,2.5,16.23,44.34,4.24,4.94,2.89,351,Very Poor
Delhi,2018-01-28,143.09,267.81,24.9,53.54,78.44,23.87,2.22,15.07,36.58,3.96,8.95,2.43,329,Very Poor
Delhi,2018-01-29,144.93,277.24,22.68,52.44,75.12,32.92,2.32,15.96,43.11,3.88,5.43,2.28,334,Very Poor
Delhi,2018-01-30,147.46,275.62,24.5,50.05,74.55,16.68,2.29,17.86,41.8,0.15,10.91,0.36,338,Very Poor
Delhi,2018-01-31,154.6,284.47,24.31,52.38,76.69,27.57,2.64,14.36,33.98,3.58,9.58,0.36,351,Very Poor
Delhi,2018-02-01,141.14,264.03,17.24,41.64,58.88,9.29,2.23,19.54,41.22,3.45,7.61,0.39,327,Very Poor
Delhi,2018-02-02,151.83,277.17,24.26,50.93,75.19,21.75,2.28,13.1,35.13,1.97,10.92,0.42,349,Very Poor
Delhi,2018-02-03,149.76,276.19,21.82,47.27,69.09,33.87,2.49,15.9,41.08,1.75,3.79,2.62,342,Very Poor
Delhi,2018-02-04,153.99,282.05,21.04,46.91,67.95,23.83,2.46,16.05,43.8,2.67,10.86,0.23,348,Very Poor
Delhi,2018-02-05,157.79,298.92,19.44,44.19,63.63,22.51,2.46,17.57,32.58,0.44,11.71,2.96,358,Very Poor
Delhi,2018-02-06,163.3,290.58,23.74,47.69,71.43,30.98,2.46,14.2,32.72,0.3,0.8,1.19,348,Very Poor
Delhi,2018-02-07,165.13,287.87,22.89,51.36,74.25,17.44,2.59,15.83,39.11,1.3,1.15,2.61,370,Very Poor
Delhi,2018-02-08,151.5,271.73,22.14,52.49,74.63,25.15,2.35,13.86,38.48,2.82,4.62,0.43,342,Very Poor
Delhi,2018-02-09,155.58,302.36,22.99,50.46,73.45,31.3,2.43,19.1,42.61,1.88,2.04,0.18,349,Very Poor
Delhi,2018-02-10,161.65,273.04,25.62,52.74,78.36,15.45,2.25,18.12,33.27,2.36,9.51,1.25,350,Very Poor
Delhi,2018-02-11,141.58,252.88,24.88,49.94,74.82,19.78,2.11,17.59,31.34,1.55,7.78,0.8,309,Very Poor
Delhi,2018-02-12,147.9,273.52,19.27,45.76,65.03,6.23,2.48,15.87,34.06,0.84,3.7,0.61,345,Very Poor
Delhi,2018-02-13,145.87,277.55,24.09,50.23,74.32,23.84,2.39,11.43,38.17,0.46,10.55,2.77,346,Very Poor
Delhi,2018-02-14,147.51,277.53,24.3,53.03,77.33,16.07,2.27,14.94,36.9,2.14,9.1,0.21,336,Very Poor
Delhi,2018-02-15,137.83,234.04,22.28,50.11,72.39,20.98,1.99,17.94,38.32,1.17,3.6,1.19,302,Very Poor
Delhi,2018-02-16,138.78,280.18,24.35,53.53,77.88,27.36,2.4,15.98,38.31,2.0,1.97,0.92,326,Very Poor
Delhi,2018-02-17,149.4,246.98,18.12,42.34,60.46,8.05,2.23,17.88,38.51,0.77,3.33,0.57,322,Very Poor
Delhi,2018-02-18,139.87,263.79,23.52,46.68,70.2,30.97,2.25,16.54,37.04,3.7,3.47,0.6,326,Very Poor
Delhi,2018-02-19,144.18,260.54,24.2,58.17,82.37,14.71,2.31,19.24,34.95,1.97,6.34,0.8,320,Very Poor
Delhi,2018-02-20,144.54,278.58,19.02,43.35,62.37,9.03,2.21,15.87,35.39,0.38,11.88,1.03,337,Very Poor
Delhi,2018-02-21,144.28,276.56,23.83,54.43,78.26,15.47,2.23,17.54,47.74,4.19,10.05,2.9,333,Very Poor
Delhi,2018-02-22,145.6,272.25,20.76,49.38,70.14,9.91,2.35,18.34,39.35,0.82,9.87,2.03,336,Very Poor
Delhi,2018-02-23,132.27,265.3,21.45,48.92,70.37,18.88,2.22,17.9,43.2,1.43,9.1,1.56,324,Very Poor
Delhi,2018-02-24,146.64,278.06,17.16,41.16,58.32,28.82,2.39,16.47,32.09,2.83,6.63,2.69,334,Very Poor
Delhi,2018-02-25,150.16,282.69,22.64,45.63,68.27,15.26,2.54,14.37,39.61,3.71,1.77,2.55,345,Very Poor
Delhi,2018-02-26,137.97,256.44,24.07,51.51,75.58,21.28,2.14,17.51,41.48,1.21,4.48,0.63,323,Very Poor
Delhi,2018-02-27,153.89,287.82,21.63,46.44,68.07,5.54,2.41,11.35,48.57,3.94,11.22,1.74,346,Very Poor
Delhi,2018-02-28,147.97,260.25,25.43,51.89,77.32,32.77,2.43,19.76,44.37,2.08,1.8,2.96,332,Very Poor
Delhi,2018-03-01,152.46,260.47,19.08,47.65,66.73,15.0,2.29,15.73,35.67,1.85,6.68,2.77,316,Very Poor
Delhi,2018-03-02,127.54,241.37,25.16,56.68,81.84,17.57,1.95,15.48,37.02,4.13,4.67,1.78,303,Very Poor
Delhi,2018-03-03,135.57,262.01,21.7,46.8,68.5,7.01,2.2,15.67,38.63,3.4,2.91,2.7,318,Very Poor
Delhi,2018-03-04,135.27,251.67,21.75,47.83,69.58,18.22,2.17,14.57,36.98,1.86,6.94,0.55,312,Very Poor
Delhi,2018-03-05,152.72,273.68,21.8,49.4,71.2,5.76,2.45,17.06,32.69,0.79,8.73,2.01,342,Very Poor
Delhi,2018-03-06,139.87,260.49,24.4,51.96,76.36,30.67,2.35,13.56,37.04,3.75,5.07,2.04,329,Very Poor
Delhi,2018-03-07,134.27,241.82,19.23,43.32,62.55,22.71,2.03,19.53,34.73,1.28,7.68,1.29,311,Very Poor
Delhi,2018-03-08,134.54,232.3,24.32,49.61,73.93,29.0,2.01,14.91,37.85,1.97,0.76,0.88,285,Poor
Delhi,2018-03-09,157.18,274.07,20.37,47.51,67.88,5.55,2.16,15.16,38.4,4.12,1.85,1.77,331,Very Poor
Delhi,2018-03-10,132.58,267.95,21.63,51.89,73.52,32.43,2.31,16.51,44.66,1.94,4.91,1.6,319,Very Poor
Delhi,2018-03-11,142.89,266.1,19.48,44.26,63.74,26.57,2.11,17.16,34.81,1.41,7.01,1.48,327,Very Poor
Delhi,2018-03-12,141.58,248.26,22.79,52.8,75.59,28.13,2.21,14.85,48.24,0.57,1.36,2.21,318,Very Poor
Delhi,2018-03-13,146.11,248.3,20.98,43.77,64.75,13.16,2.18,15.2,40.13,2.7,4.65,0.37,308,Very Poor
Delhi,2018-03-14,138.89,249.74,21.33,44.66,65.99,30.48,2.19,16.76,40.24,1.2,6.13,0.74,307,Very Poor
Delhi,2018-03-15,146.96,262.22,24.94,51.79,76.73,14.57,2.35,15.57,37.68,3.75,0.93,1.83,323,Very Poor
Delhi,2018-03-16,130.7,243.72,21.93,48.09,70.02,28.72,1.98,18.51,37.25,1.5,7.7,2.67,299,Poor
Delhi,2018-03-17,125.06,246.55,23.15,52.85,76.0,19.4,2.19,16.09,35.27,2.86,10.55,2.95,298,Poor
Delhi,2018-03-18,138.19,254.87,20.65,47.91,68.56,12.01,2.02,15.16,32.62,0.29,0.71,2.96,296,Poor
Delhi,2018-03-19,117.72,220.54,22.68,45.72,68.4,33.34,1.98,17.37,34.7,2.16,7.55,0.58,288,Poor
Delhi,2018-03-20,136.48,247.62,27.83,59.82,87.65,15.5,2.04,14.72,35.51,0.35,11.64,2.66,303,Very Poor
Delhi,2018-03-21,126.4,222.5,22.39,53.18,75.57,11.71,2.04,18.1,36.49,2.46,7.32,1.78,290,Poor
Delhi,2018-03-22,125.45,235.47,22.4,51.34,73.74,12.79,2.19,17.32,37.29,3.28,6.2,0.34,288,Poor
Delhi,2018-03-23,129.09,218.78,16.17,36.08,52.25,25.34,2.09,14.26,39.37,2.59,3.57,2.65,284,Poor
Delhi,2018-03-24,139.56,252.94,21.61,52.03,73.64,31.43,2.21,18.13,43.53,3.94,0.84,2.49,303,Very Poor
Delhi,2018-03-25,132.17,236.4,21.43,47.24,68.67,5.19,2.14,16.99,39.6,1.36,7.59,2.95,303,Very Poor
Delhi,2018-03-26,123.6,225.34,28.27,58.65,86.92,15.26,1.9,15.38,39.0,2.88,11.22,0.4,271,Poor
Delhi,2018-03-27,139.76,257.7,22.61,49.25,71.86,15.38,2.14,15.19,38.7,2.83,1.03,2.63,314,Very Poor
Delhi,2018-03-28,125.73,241.81,20.71,49.74,70.45,28.84,2.13,14.89,32.21,3.15,3.04,0.34,280,Poor
Delhi,2018-03-29,117.96,218.26,22.84,49.11,71.95,16.93,1.75,13.71,40.53,1.31,11.82,1.29,254,Poor
Delhi,2018-03-30,126.49,215.25,26.17,55.78,81.95,30.34,2.06,15.84,39.37,3.45,7.7,0.48,282,Poor
Delhi,2018-03-31,134.96,239.95,20.5,45.88,66.38,11.02,2.05,15.9,34.97,2.26,1.24,1.79,291,Poor
Delhi,2018-04-01,127.22,233.81,20.45,42.44,62.89,30.8,1.8,15.1,31.66,3.53,0.96,1.49,295,Poor
Delhi,2018-04-02,128.28,232.62,23.89,59.61,83.5,14.79,2.08,15.95,45.13,2.38,1.51,1.12,293,Poor
Delhi,2018-04-03,115.81,232.02,21.18,52.56,73.74,33.09,1.89,14.86,43.6,0.33,6.72,2.16,265,Poor
Delhi,2018-04-04,131.12,242.66,23.16,47.68,70.84,18.57,2.03,18.18,41.8,2.93,6.55,2.22,292,Poor
Delhi,2018-04-05,115.68,212.45,23.46,51.7,75.16,26.58,1.79,17.05,37.9,1.11,11.96,2.93,267,Poor
Delhi,2018-04-06,130.15,253.6,22.83,47.99,70.82,27.28,2.23,16.42,37.56,1.97,4.48,1.18,307,Very Poor
Delhi,2018-04-07,127.75,240.57,20.65,48.16,68.81,22.77,1.91,18.16,37.31,4.11,2.92,1.91,277,Poor
Delhi,2018-04-08,132.94,237.96,23.11,51.61,74.72,12.42,2.01,14.63,36.83,3.93,5.62,1.59,285,Poor
Delhi,2018-04-09,118.69,228.99,23.06,45.52,68.58,18.61,2.11,13.41,36.13,1.14,1.35,0.59,288,Poor
Delhi,2018-04-10,110.72,223.85,23.12,48.96,72.08,10.01,1.96,18.47,32.43,0.84,0.92,2.24,274,Poor
Delhi,2018-04-11,126.71,216.24,22.04,51.72,73.76,6.71,1.84,18.06,36.96,2.44,11.27,0.21,263,Poor
Delhi,2018-04-12,115.67,202.07,20.44,49.24,69.68,34.6,1.76,16.9,38.04,4.35,0.56,2.86,263,Poor
Delhi,2018-04-13,124.69,234.52,16.37,38.41,54.78,25.2,1.91,20.18,42.43,4.37,1.58,2.05,278,Poor
Delhi,2018-04-14,114.62,197.86,23.97,52.19,76.16,31.07,1.71,14.17,46.01,2.61,0.85,2.8,247,Poor
Delhi,2018-04-15,128.9,230.93,23.17,45.43,68.6,6.45,1.81,19.27,39.21,4.4,5.18,2.63,278,Poor
Delhi,2018-04-16,111.84,215.47,24.24,52.26,76.5,29.24,1.56,16.71,34.27,3.45,9.67,1.36,249,Poor
Delhi,2018-04-17,113.86,205.04,21.97,50.06,72.03,18.46,1.63,13.81,44.38,1.15,4.79,0.76,256,Poor
Delhi,2018-04-18,108.77,190.08,26.06,54.36,80.42,20.57,1.46,19.07,35.27,2.21,0.79,1.09,244,Poor
Delhi,2018-04-19,95.27,199.23,28.68,59.76,88.44,5.55,1.68,18.77,40.38,0.96,0.59,1.98,234,Poor
Delhi,2018-04-20,116.39,218.77,20.98,49.24,70.22,13.55,1.84,17.11,34.2,1.45,9.73,1.66,266,Poor
Delhi,2018-04-21,109.8,204.95,22.41,53.76,76.17,20.75,1.82,14.04,40.2,3.22,1.73,1.75,266,Poor
Delhi,2018-04-22,111.37,189.86,22.08,47.68,69.76,29.58,1.68,16.13,38.56,3.99,3.12,0.71,236,Poor
Delhi,2018-04-23,109.59,171.72,22.23,47.23,69.46,7.87,1.67,14.56,36.82,2.84,5.7,1.8,228,Poor
Delhi,2018-04-24,120.28,207.5,22.17,48.58,70.75,11.96,1.96,16.91,44.49,1.82,7.34,1.54,266,Poor
Delhi,2018-04-25,111.7,205.78,19.54,47.79,67.33,31.83,1.78,17.14,36.48,0.94,4.22,0.76,234,Poor
Delhi,2018-04-26,103.66,192.68,21.48,46.96,68.44,31.4,1.61,16.07,40.81,2.96,6.63,1.04,241,Poor
Delhi,2018-04-27,109.39,227.53,21.55,51.68,73.23,25.7,1.8,14.59,40.23,0.98,6.66,0.38,261,Poor
Delhi,2018-04-28,115.4,193.2,22.87,55.26,78.13,34.77,1.63,13.57,32.37,4.18,6.71,2.54,243,Poor
Delhi,2018-04-29,123.6,224.04,19.68,48.76,68.44,14.09,1.89,16.27,40.83,1.26,4.64,0.35,275,Poor
Delhi,2018-04-30,112.34,211.43,21.22,46.61,67.83,32.58,1.97,12.8,33.47,2.29,11.91,2.57,253,Poor
